experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_smallNetsFP,8556,44,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Lipids and lipid-like molecules,0.6666666666666666,superclass,3,In silico
dataset1_smallNetsFP,8557,116,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,Organic oxygen compounds,0.5777777777777777,superclass,45,In silico
dataset1_smallNetsFP,8558,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8559,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8560,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8561,1964,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,Styrenes,0.7666666666666666,subclass,3,In silico
dataset1_smallNetsFP,8562,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerophospholipids,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8563,-1,NA,NA,NA,NA,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8564,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_smallNetsFP,8565,1501,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzenoids,0.5454545454545454,superclass,11,In silico
dataset1_smallNetsFP,8566,344,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Lipids and lipid-like molecules,0.5555555555555556,superclass,18,In silico
dataset1_smallNetsFP,8567,1033,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organonitrogen compounds,0.7999999999999999,class,10,In silico
